BINOMIAL,PHYLUM_NAM,CLASS_NAME,ORDER_NAME,FAMILY_NAM,GENUS_NAME,SPECIES_NA,CATEGORY
Alveopora marionensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,marionensis,VU
Stylophora mamillata,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Stylophora,mamillata,LC
Euphyllia cristata,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Euphyllia,cristata,VU
Plesiastrea versipora,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Plesiastrea,versipora,LC
Pocillopora molokensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,molokensis,DD
Mussismilia harttii,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Mussismilia,harttii,DD
Alveopora excelsa,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,excelsa,EN
Mycetophyllia danaana,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Mycetophyllia,danaana,LC
Symphyllia valenciennesii,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Symphyllia,valenciennesii,LC
Fungia cyclolites,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,cyclolites,LC
Stylaraea punctata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Stylaraea,punctata,DD
Turbinaria irregularis,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria,irregularis,LC
Porites pukoensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,pukoensis,CR
Zoopilus echinatus,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Zoopilus,echinatus,LC
Echinopora hirsutissima,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,hirsutissima,LC
Mycedium elephantotus,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Mycedium,elephantotus,LC
Porites colonensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,colonensis,DD
Manicina areolata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Manicina,areolata,LC
Lobophyllia hemprichii,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Lobophyllia,hemprichii,LC
Oculina diffusa,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Oculina,diffusa,LC
Isophyllia sinuosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Isophyllia,sinuosa,LC
Porites myrmidonensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,myrmidonensis,LC
Psammocora profundacella,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,profundacella,LC
Craterestrea levis,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Craterestrea,levis,LC
Porites profundus,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,profundus,LC
Pectinia ayleni,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Pectinia,ayleni,NT
Goniopora djiboutiensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,djiboutiensis,LC
Solenastrea hyades,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Solenastrea,hyades,LC
Oxypora crassispinosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Oxypora,crassispinosa,LC
Polyphyllia talpina,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Polyphyllia,talpina,LC
Mycetophyllia reesi,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Mycetophyllia,reesi,DD
Echinophyllia orpheensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Echinophyllia,orpheensis,LC
Stylophora wellsi,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Stylophora,wellsi,NT
Porites studeri,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,studeri,LC
Heteropsammia cochlea,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Heteropsammia,cochlea,LC
Echinopora taylorae,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,taylorae,NT
Micromussa amakusensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Micromussa,amakusensis,NT
Turbinaria mesenterina,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria,mesenterina,VU
Goniopora columna,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,columna,NT
Echinopora gemmacea,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,gemmacea,LC
Coscinaraea exesa,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Coscinaraea,exesa,LC
Acanthastrea regularis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Acanthastrea,regularis,VU
Pectinia pygmaeus,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Pectinia,pygmaeus,NT
Porites astreoides,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,astreoides,LC
Seriatopora guttatus,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Seriatopora,guttatus,LC
Favia rotundata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,rotundata,NT
Turbinaria heronensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria,heronensis,VU
Porites porites,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,porites,LC
Fungia concinna,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,concinna,LC
Symphyllia agaricia,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Symphyllia,agaricia,LC
Montastrea annuligera,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastrea,annuligera,NT
Oulophyllia bennettae,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Oulophyllia,bennettae,NT
Euphyllia glabrescens,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Euphyllia,glabrescens,NT
Fungia scruposa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,scruposa,LC
Porites rus,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,rus,LC
Fungia moluccensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,moluccensis,LC
Cantharellus noumeae,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Cantharellus,noumeae,EN
Lobophyllia flabelliformis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Lobophyllia,flabelliformis,VU
Montastraea franksi,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastraea,franksi,VU
Porites sverdrupi,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,sverdrupi,VU
Alveopora fenestrata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,fenestrata,VU
Favites pentagona,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,pentagona,LC
Pocillopora ankeli,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,ankeli,VU
Goniopora fruticosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,fruticosa,LC
Mycedium spina,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Mycedium,spina,DD
Favia helianthoides,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,helianthoides,NT
Scolymia wellsi,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Scolymia,wellsi,DD
Montastrea valenciennesi,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastrea,valenciennesi,NT
Pocillopora elegans,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,elegans,VU
Ctenactis albitentaculata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Ctenactis,albitentaculata,NT
Goniopora stutchburyi,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,stutchburyi,LC
Eusmilia fastigiata,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Eusmilia,fastigiata,LC
Goniastrea edwardsi,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,edwardsi,LC
Montastraea faveolata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastraea,faveolata,EN
Fungia puishani,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,puishani,DD
Duncanopsammia axifuga,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Duncanopsammia,axifuga,NT
Goniastrea thecata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,thecata,NT
Leptastrea bottae,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptastrea,bottae,NT
Scolymia lacera,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Scolymia,lacera,LC
Pocillopora inflata,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,inflata,VU
Echinophyllia echinoporoides,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Echinophyllia,echinoporoides,LC
Favites micropentagona,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,micropentagona,NT
Favia marshae,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,marshae,NT
Montastrea serageldini,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastrea,serageldini,VU
Montigyra kenti,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Montigyra,kenti,DD
Goniopora stokesi,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,stokesi,NT
Pectinia teres,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Pectinia,teres,NT
Stylophora madagascarensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Stylophora,madagascarensis,EN
Leptastrea purpurea,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptastrea,purpurea,LC
Sandalolitha robusta,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Sandalolitha,robusta,LC
Leptastrea pruinosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptastrea,pruinosa,LC
Oulophyllia levis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Oulophyllia,levis,LC
Favites abdita,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,abdita,NT
Scolymia australis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Scolymia,australis,LC
Astrangia poculata,CNIDARIA,ANTHOZOA,SCLERACTINIA,RHIZANGIIDAE,Astrangia,poculata,LC
Galaxea cryptoramosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Galaxea,cryptoramosa,VU
Favia maxima,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,maxima,NT
Porites flavus,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,flavus,DD
Diploria clivosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Diploria,clivosa,LC
Porites columnaris,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,columnaris,LC
Cyphastrea serailia,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Cyphastrea,serailia,LC
Oulastrea crispata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Oulastrea,crispata,LC
Fungia curvata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,curvata,VU
Cyphastrea ocellina,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Cyphastrea,ocellina,VU
Hydnophora rigida,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Hydnophora,rigida,LC
Symphyllia recta,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Symphyllia,recta,LC
Porites australiensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,australiensis,LC
Balanophyllia europaea,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Balanophyllia,europaea,DD
Moseleya latistellata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Moseleya,latistellata,VU
Indophyllia macassarensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Indophyllia,macassarensis,DD
Acanthastrea ishigakiensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Acanthastrea,ishigakiensis,VU
Symphyllia erythraea,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Symphyllia,erythraea,LC
Goniastrea pectinata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,pectinata,LC
Favia favus,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,favus,LC
Goniastrea aspera,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,aspera,LC
Alveopora viridis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,viridis,NT
Pectinia africanus,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Pectinia,africanus,VU
Platygyra crosslandi,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Platygyra,crosslandi,NT
Pocillopora eydouxi,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,eydouxi,NT
Galaxea astreata,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Galaxea,astreata,VU
Favites chinensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,chinensis,NT
Cyphastrea japonica,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Cyphastrea,japonica,LC
Porites baueri,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,baueri,DD
Simplastrea vesicularis,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Simplastrea,vesicularis,DD
Goniopora lobata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,lobata,NT
Pocillopora ligulata,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,ligulata,LC
Oxypora egyptensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Oxypora,egyptensis,DD
Meandrina danae,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Meandrina,danae,LC
Coscinaraea wellsi,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Coscinaraea,wellsi,LC
Parasimplastrea sheppardi,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Parasimplastrea,sheppardi,EN
Fungia repanda,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,repanda,LC
Porites mayeri,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,mayeri,LC
Porites attenuata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,attenuata,VU
Porites eridani,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,eridani,EN
Psammocora decussata,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,decussata,DD
Turbinaria conspicua,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria,conspicua,LC
Hydnophora exesa,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Hydnophora,exesa,NT
Pseudosiderastrea tayami,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Pseudosiderastrea,tayami,NT
Stylophora danae,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Stylophora,danae,LC
Goniopora pendulus,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,pendulus,LC
Echinopora forskaliana,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,forskaliana,NT
Halomitra clavator,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Halomitra,clavator,VU
Galaxea paucisepta,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Galaxea,paucisepta,NT
Euphyllia paradivisa,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Euphyllia,paradivisa,VU
Micromussa minuta,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Micromussa,minuta,NT
Goniopora ciliatus,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,ciliatus,LC
Coscinaraea mcneilli,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Coscinaraea,mcneilli,LC
Colpophyllia natans,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Colpophyllia,natans,LC
Fungia distorta,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,distorta,LC
Heteropsammia eupsammides,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Heteropsammia,eupsammides,NT
Boninastrea boninensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Boninastrea,boninensis,DD
Fungia taiwanensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,taiwanensis,VU
Cantharellus jebbi,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Cantharellus,jebbi,LC
Plerogyra cauliformis,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Plerogyra,cauliformis,DD
Favia danae,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,danae,LC
Leptoria phrygia,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptoria,phrygia,NT
Montastrea salebrosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastrea,salebrosa,VU
Favia laxa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,laxa,NT
Alveopora japonica,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,japonica,VU
Plerogyra diabolotus,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Plerogyra,diabolotus,DD
Merulina scabricula,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Merulina,scabricula,LC
Pocillopora kelleheri,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,kelleheri,LC
Porites sillimaniana,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,sillimaniana,VU
Mycedium steeni,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Mycedium,steeni,VU
Goniastrea peresi,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,peresi,NT
Goniopora pearsoni,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,pearsoni,LC
Mycedium robokaki,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Mycedium,robokaki,LC
Siderastrea glynni,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Siderastrea,glynni,CR
Podabacia motuporensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Podabacia,motuporensis,NT
Platygyra carnosus,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Platygyra,carnosus,NT
Isophyllastrea rigida,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Isophyllastrea,rigida,LC
Porites cylindrica,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,cylindrica,NT
Fungia vaughani,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,vaughani,LC
Cyphastrea agassizi,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Cyphastrea,agassizi,VU
Hydnophora pilosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Hydnophora,pilosa,LC
Alveopora gigas,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,gigas,VU
Echinophyllia costata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Echinophyllia,costata,VU
Porites solida,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,solida,LC
Merulina scheeri,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Merulina,scheeri,LC
Montastrea curta,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastrea,curta,LC
Psammocora obtusangula,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,obtusangula,NT
Porites furcata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,furcata,LC
Coscinaraea crassa,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Coscinaraea,crassa,NT
Goniopora somaliensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,somaliensis,LC
Porites nodifera,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,nodifera,LC
Mycetophyllia aliciae,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Mycetophyllia,aliciae,LC
Pocillopora fungiformis,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,fungiformis,EN
Fungia fungites,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,fungites,NT
Acanthastrea faviaformis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Acanthastrea,faviaformis,VU
Porites lichen,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,lichen,LC
Porites napopora,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,napopora,VU
Favia truncatus,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,truncatus,LC
Echinomorpha nishihirai,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Echinomorpha,nishihirai,NT
Fungia scabra,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,scabra,LC
Oxypora convoluta,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Oxypora,convoluta,DD
Goniastrea columella,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,columella,NT
Echinopora lamellosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,lamellosa,LC
Merulina ampliata,CNIDARIA,ANTHOZOA,SCLERACTINIA,MERULINIDAE,Merulina,ampliata,LC
Turbinaria reniformis,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria,reniformis,VU
Euphyllia divisa,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Euphyllia,divisa,NT
Porites monticulosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,monticulosa,LC
Dichocoenia stokesii,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Dichocoenia,stokesii,VU
Leptastrea transversa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptastrea,transversa,LC
Halomitra pileus,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Halomitra,pileus,LC
Mycetophyllia lamarckiana,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Mycetophyllia,lamarckiana,LC
Favites paraflexuosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favites,paraflexuosa,NT
Porites excavata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,excavata,DD
Psammocora verrilli,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,verrilli,DD
Porites panamensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,panamensis,LC
Podabacia sinai,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Podabacia,sinai,DD
Calathiscus tantillus,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Calathiscus,tantillus,DD
Meandrina meandrites,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Meandrina,meandrites,LC
Oculina valenciennesi,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Oculina,valenciennesi,DD
Cyphastrea microphthalma,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Cyphastrea,microphthalma,LC
Echinophyllia patula,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Echinophyllia,patula,LC
Porites densa,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,densa,NT
Turbinaria patula,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria,patula,VU
Lithophyllon ranjithi,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Lithophyllon,ranjithi,EN
Favia albidus,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,albidus,NT
Acanthastrea hemprichii,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Acanthastrea,hemprichii,VU
Leptastrea aequalis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Leptastrea,aequalis,VU
Alveopora verrilliana,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,verrilliana,VU
Porites cumulatus,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,cumulatus,VU
Podabacia crustacea,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Podabacia,crustacea,LC
Psammocora digitata,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,digitata,NT
Porites lobata,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,lobata,NT
Pectinia maxima,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Pectinia,maxima,EN
Pocillopora setichelli,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,setichelli,LC
