BINOMIAL,PHYLUM_NAM,CLASS_NAME,ORDER_NAME,FAMILY_NAM,GENUS_NAME,SPECIES_NA,CATEGORY
Montipora orientalis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,orientalis,VU
Montipora niugini,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,niugini,NT
Acropora pinguis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,pinguis,DD
Pavona duerdeni,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Pavona,duerdeni,LC
Montipora circumvallata,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,circumvallata,LC
Leptoseris scabra,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Leptoseris,scabra,LC
Montipora patula,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,patula,VU
Acropora listeri,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,listeri,VU
Acropora speciosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,speciosa,VU
Astreopora gracilis,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Astreopora,gracilis,LC
Montipora vaughani,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,vaughani,DD
Acropora hemprichii,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,hemprichii,VU
Acropora teres,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,teres,DD
Mussismilia braziliensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Mussismilia,braziliensis,DD
Pocillopora woodjonesi,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,woodjonesi,LC
Blastomussa merleti,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Blastomussa,merleti,LC
Lithophyllon mokai,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Lithophyllon,mokai,LC
Fungia spinifer,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,spinifer,LC
Meandrina braziliensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Meandrina,braziliensis,DD
Echinopora robusta,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Echinopora,robusta,VU
Poritipora paliformis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Poritipora,paliformis,VU
Psammocora explanulata,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Psammocora,explanulata,LC
Symphyllia radians,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Symphyllia,radians,LC
Ctenella chagius,CNIDARIA,ANTHOZOA,SCLERACTINIA,MEANDRINIDAE,Ctenella,chagius,EN
Plerogyra sinuosa,CNIDARIA,ANTHOZOA,SCLERACTINIA,EUPHYLLIDAE,Plerogyra,sinuosa,NT
Polyphyllia novaehiberniae,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Polyphyllia,novaehiberniae,NT
Favia lizardensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Favia,lizardensis,NT
Porites duerdeni,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,duerdeni,LC
Platygyra yaeyamaensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Platygyra,yaeyamaensis,VU
Galaxea acrhelia,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Galaxea,acrhelia,VU
Fungia scutaria,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,scutaria,LC
Siderastrea radians,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Siderastrea,radians,LC
Goniopora norfolkensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,norfolkensis,LC
Turbinaria bifrons,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria,bifrons,VU
Goniastrea australensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,australensis,LC
Montastrea multipunctata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastrea,multipunctata,VU
Turbinaria stellulata,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria,stellulata,VU
Fungia sinensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,sinensis,LC
Caulastrea connata,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Caulastrea,connata,VU
Goniopora tenuidens,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,tenuidens,LC
Fungia fralinae,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,fralinae,LC
Goniopora savignyi,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,savignyi,LC
Pocillopora danae,CNIDARIA,ANTHOZOA,SCLERACTINIA,POCILLOPORIDAE,Pocillopora,danae,VU
Solenastrea bournoni,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Solenastrea,bournoni,LC
Porites aranetai,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,aranetai,VU
Acanthastrea lordhowensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Acanthastrea,lordhowensis,NT
Goniastrea palauensis,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Goniastrea,palauensis,NT
Goniopora albiconus,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Goniopora,albiconus,VU
Porites latistella,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,latistella,LC
